age,education-years,gender,capital-gain,capital-loss,hours-per-week,native-country-HDI,income
17,15,1,99999,0,80,0.92,0
18,14,1,99999,0,55,0.92,0
18,15,1,99999,0,60,0.92,0
18,14,1,15024,0,80,0.92,1
18,15,1,99999,0,60,0.92,1
18,16,1,5013,0,60,0.92,1
19,14,0,15024,0,60,0.92,1
20,14,1,15024,0,78,0.92,1
20,14,1,99999,0,52,0.92,1
20,16,1,7688,0,65,0.92,1
20,15,1,15024,0,75,0.92,1
21,14,1,6418,0,65,0.92,1
22,15,1,99999,0,60,0.92,1
22,16,1,7688,0,60,0.92,1
22,15,1,15024,0,60,0.92,1
22,15,1,99999,0,60,0.712,1
22,15,1,99999,0,60,0.92,1
24,14,1,5013,0,56,0.92,1
25,15,1,15024,0,60,0.92,1
25,15,1,7298,0,60,0.92,1
25,16,1,99999,0,80,0.92,1
25,15,0,99999,0,60,0.92,1
26,15,1,99999,0,60,0.92,1
26,16,1,99999,0,60,0.92,1
26,14,1,99999,0,54,0.92,1
26,14,1,7298,0,55,0.92,1
27,15,1,15024,0,60,0.92,1
28,14,1,7688,0,60,0.92,1
28,15,1,15024,0,60,0.92,1
28,16,1,27828,0,60,0.758,1
29,14,1,7688,0,55,0.92,1
29,14,1,15024,0,60,0.92,1
29,15,1,99999,0,99,0.92,1
30,15,1,15024,0,60,0.92,1
30,14,1,5178,0,60,0.92,1
30,14,0,7430,0,60,0.92,1
30,16,1,99999,0,60,0.92,1
30,14,1,7688,0,84,0.92,1
30,14,1,15024,0,52,0.92,1
31,15,1,99999,0,84,0.92,1
31,15,1,15024,0,55,0.92,1
31,14,1,2407,0,98,0.92,1
31,16,1,15024,0,60,0.92,1
31,15,1,99999,0,60,0.92,1
32,15,1,99999,0,60,0.92,1
32,14,1,15024,0,65,0.92,1
32,15,1,99999,0,60,0.92,1
32,15,1,99999,0,70,0.92,1
32,16,1,15024,0,60,0.797,1
33,15,1,15024,0,60,0.92,1
33,14,1,15024,0,65,0.92,1
33,16,1,15024,0,60,0.939,1
33,14,1,15024,0,55,0.92,1
33,15,1,99999,0,55,0.882,1
34,15,1,99999,0,65,0.92,1
34,14,1,20051,0,60,0.92,1
34,15,1,99999,0,65,0.92,1
34,15,1,99999,0,60,0.92,1
34,14,1,7298,0,60,0.92,1
35,16,1,7688,0,60,0.922,1
35,14,1,7688,0,55,0.92,1
35,14,1,20051,0,60,0.92,1
36,14,1,15024,0,70,0.92,1
36,15,1,15024,0,60,0.92,1
37,15,0,7688,0,60,0.92,1
37,16,1,7298,0,55,0.92,1
37,15,1,99999,0,70,0.92,1
38,14,1,7688,0,60,0.92,1
38,14,1,7688,0,55,0.92,1
38,15,1,15024,0,60,0.92,1
38,15,1,99999,0,65,0.92,1
38,14,1,99999,0,60,0.92,1
39,15,1,20051,0,72,0.92,1
39,15,1,7688,0,60,0.92,1
39,16,1,20051,0,55,0.92,1
39,16,1,25236,0,64,0.92,1
39,16,1,4386,0,52,0.92,1
40,15,1,20051,0,60,0.92,1
40,16,1,99999,0,70,0.92,1
40,15,1,15024,0,55,0.92,1
40,14,1,15024,0,60,0.92,1
41,15,1,7688,0,60,0.92,1
41,14,1,7298,0,60,0.92,1
41,15,1,99999,0,60,0.92,1
41,15,1,15024,0,55,0.92,1
41,14,1,7688,0,55,0.92,1
41,15,1,15024,0,80,0.92,1
41,14,1,7688,0,70,0.92,1
41,15,1,99999,0,65,0.92,1
42,14,1,7688,0,53,0.92,1
42,16,1,99999,0,65,0.92,1
42,16,1,7688,0,60,0.92,1
43,14,1,15024,0,60,0.92,1
43,14,1,15024,0,60,0.92,1
43,16,1,5178,0,75,0.92,1
43,14,1,7298,0,55,0.92,1
43,15,1,99999,0,80,0.92,1
43,16,1,99999,0,70,0.92,1
43,14,1,15024,0,80,0.92,1
44,14,1,15024,0,65,0.92,1
44,14,1,7298,0,60,0.92,1
44,16,1,99999,0,55,0.92,1
44,15,1,99999,0,60,0.92,1
44,15,1,15024,0,55,0.92,1
44,14,1,7688,0,55,0.92,1
44,14,1,15024,0,65,0.92,1
44,14,1,7688,0,55,0.92,1
45,14,1,99999,0,80,0.92,1
45,14,1,7298,0,60,0.922,1
45,16,1,7688,0,55,0.92,1
45,14,1,15024,0,60,0.92,1
45,16,1,99999,0,55,0.92,1
45,15,1,15024,0,75,0.92,1
45,15,1,15024,0,65,0.92,1
45,16,1,15024,0,55,0.92,1
46,14,1,99999,0,80,0.92,1
46,14,1,15024,0,55,0.92,1
46,14,1,3103,0,55,0.92,1
46,15,1,15024,0,65,0.92,1
46,16,1,7688,0,55,0.92,1
46,16,1,15024,0,60,0.92,1
46,14,1,15024,0,60,0.92,1
47,14,1,7688,0,60,0.92,1
47,14,1,15024,0,55,0.92,1
47,14,1,99999,0,65,0.92,1
47,14,1,7298,0,55,0.92,1
47,15,1,15024,0,55,0.939,1
47,15,1,99999,0,70,0.647,1
47,14,1,99999,0,60,0.92,1
47,15,1,15024,0,60,0.92,1
48,15,1,15024,0,60,0.92,1
48,15,1,15024,0,60,0.92,1
48,15,1,20051,0,55,0.92,1
48,15,1,99999,0,60,0.92,1
48,16,1,15024,0,84,0.92,1
49,15,1,99999,0,55,0.92,1
49,14,1,7688,0,65,0.92,1
49,14,1,99999,0,70,0.92,1
49,15,1,15024,0,60,0.92,1
49,14,1,7298,0,60,0.92,1
50,14,1,7298,0,60,0.92,1
50,14,1,15024,0,60,0.92,1
50,14,1,99999,0,55,0.92,1
50,14,1,7688,0,60,0.92,1
50,10,0,0,0,43,0.92,1
50,10,1,0,0,40,0.92,1
50,10,0,0,0,37,0.92,0
50,13,1,0,0,40,0.939,0
50,6,1,0,0,38,0.92,0
51,9,0,0,0,45,0.92,0
51,7,0,0,0,25,0.92,0
51,9,0,0,0,40,0.92,0
51,9,0,0,0,35,0.92,0
51,13,1,15831,0,8,0.939,0
51,9,0,0,0,40,0.92,0
51,8,1,0,0,12,0.92,0
51,7,0,0,0,40,0.92,0
52,6,1,0,0,48,0.92,0
52,11,0,6849,0,40,0.92,0
52,10,1,0,0,15,0.92,0
52,9,0,0,0,40,0.92,0
52,10,0,0,0,20,0.92,0
52,12,0,1471,0,32,0.92,0
52,8,1,0,0,35,0.92,0
52,13,1,0,1741,40,0.92,0
52,9,1,0,0,35,0.92,0
53,9,1,0,0,50,0.92,0
53,9,0,0,0,40,0.92,0
53,9,0,0,0,40,0.92,0
53,9,1,0,0,30,0.92,0
53,4,0,0,0,40,0.92,0
53,9,0,0,0,40,0.92,0
54,10,0,0,0,40,0.92,0
54,10,1,0,0,45,0.92,0
55,13,1,0,0,40,0.92,0
55,9,0,0,0,25,0.92,0
56,9,1,0,0,48,0.92,0
56,10,1,0,0,40,0.92,0
56,9,0,0,0,45,0.92,0
57,13,0,0,0,40,0.92,0
57,13,0,0,0,50,0.92,0
57,9,0,0,0,32,0.92,0
57,7,0,0,0,30,0.92,0
57,9,1,0,0,40,0.92,0
58,9,0,0,0,32,0.92,0
58,4,0,0,0,48,0.92,0
59,9,0,7443,0,35,0.92,0
59,9,1,0,0,49,0.92,0
59,13,1,0,0,40,0.92,0
60,10,1,0,0,40,0.92,0
60,9,0,0,1602,20,0.92,0
60,9,0,0,1669,50,0.92,0
60,7,1,0,0,20,0.92,0
61,9,0,0,0,28,0.92,0
62,9,1,0,0,40,0.92,0
62,6,1,0,0,40,0.92,0
63,6,0,0,0,38,0.745,0
64,9,0,0,0,45,0.92,0
64,13,0,0,0,40,0.92,0
64,9,1,0,0,40,0.92,0
65,11,0,0,0,24,0.92,0
66,12,0,0,0,15,0.92,0
66,10,1,0,0,40,0.92,0
66,9,0,0,0,35,0.92,0
67,10,0,0,0,39,0.92,0
67,8,1,0,0,35,0.92,0
68,9,1,0,0,46,0.92,0
74,13,0,15020,0,45,0.92,0
80,10,0,0,0,40,0.92,0
82,10,1,0,0,40,0.92,0
90,9,0,0,0,40,0.92,0
90,9,1,0,0,20,0.92,0
